Vardas         Pavardė       Galutinis (Vid.)
vardas440      pavarde440      2.88
vardas443      pavarde443      2.72
vardas447      pavarde447      2.44
vardas448      pavarde448      4.32
vardas450      pavarde450      3.64
vardas451      pavarde451      3.96
vardas453      pavarde453      2.20
vardas454      pavarde454      3.64
vardas456      pavarde456      3.60
vardas457      pavarde457      4.00
vardas458      pavarde458      3.28
vardas460      pavarde460      2.24
vardas462      pavarde462      4.36
vardas464      pavarde464      4.20
vardas465      pavarde465      3.40
vardas467      pavarde467      2.60
vardas468      pavarde468      4.64
vardas469      pavarde469      1.76
vardas470      pavarde470      3.00
vardas471      pavarde471      2.88
vardas472      pavarde472      3.36
vardas474      pavarde474      2.40
vardas475      pavarde475      2.80
vardas476      pavarde476      2.68
vardas480      pavarde480      1.60
vardas481      pavarde481      2.68
vardas482      pavarde482      1.96
vardas483      pavarde483      2.68
vardas486      pavarde486      4.08
vardas487      pavarde487      4.16
vardas489      pavarde489      3.60
vardas490      pavarde490      3.88
vardas491      pavarde491      2.48
vardas492      pavarde492      4.56
vardas493      pavarde493      3.80
vardas494      pavarde494      2.32
vardas496      pavarde496      3.08
vardas498      pavarde498      2.00
vardas499      pavarde499      2.24
vardas500      pavarde500      4.36
vardas501      pavarde501      3.84
vardas506      pavarde506      1.96
vardas510      pavarde510      1.84
vardas512      pavarde512      4.32
vardas513      pavarde513      3.32
vardas514      pavarde514      1.84
vardas516      pavarde516      2.36
vardas520      pavarde520      4.88
vardas523      pavarde523      1.76
vardas525      pavarde525      4.40
vardas526      pavarde526      1.60
vardas529      pavarde529      2.24
vardas530      pavarde530      3.80
vardas532      pavarde532      2.76
vardas535      pavarde535      2.32
vardas538      pavarde538      4.60
vardas540      pavarde540      3.24
vardas545      pavarde545      1.28
vardas546      pavarde546      1.68
vardas547      pavarde547      2.36
vardas549      pavarde549      4.68
vardas551      pavarde551      1.52
vardas552      pavarde552      1.84
vardas557      pavarde557      4.04
vardas558      pavarde558      4.88
vardas561      pavarde561      1.88
vardas564      pavarde564      2.72
vardas565      pavarde565      2.12
vardas566      pavarde566      3.28
vardas567      pavarde567      4.56
vardas568      pavarde568      4.88
vardas574      pavarde574      3.60
vardas576      pavarde576      4.08
vardas578      pavarde578      2.96
vardas579      pavarde579      4.88
vardas581      pavarde581      2.92
vardas582      pavarde582      3.24
vardas583      pavarde583      3.16
vardas585      pavarde585      3.56
vardas586      pavarde586      4.24
vardas587      pavarde587      3.92
vardas588      pavarde588      2.64
vardas589      pavarde589      3.60
vardas590      pavarde590      3.36
vardas591      pavarde591      2.40
vardas592      pavarde592      2.80
vardas593      pavarde593      3.68
vardas597      pavarde597      3.48
vardas603      pavarde603      4.32
vardas604      pavarde604      3.36
vardas606      pavarde606      4.92
vardas608      pavarde608      2.08
vardas609      pavarde609      4.64
vardas610      pavarde610      3.12
vardas612      pavarde612      4.76
vardas613      pavarde613      4.16
vardas614      pavarde614      1.60
vardas615      pavarde615      4.84
vardas617      pavarde617      4.88
vardas619      pavarde619      3.60
vardas621      pavarde621      4.16
vardas623      pavarde623      2.88
vardas624      pavarde624      3.44
vardas625      pavarde625      2.88
vardas627      pavarde627      3.84
vardas629      pavarde629      2.40
vardas630      pavarde630      2.76
vardas631      pavarde631      3.24
vardas633      pavarde633      2.68
vardas635      pavarde635      3.80
vardas636      pavarde636      3.12
vardas642      pavarde642      3.80
vardas643      pavarde643      2.40
vardas644      pavarde644      3.00
vardas645      pavarde645      3.64
vardas650      pavarde650      3.20
vardas651      pavarde651      4.24
vardas654      pavarde654      2.28
vardas656      pavarde656      4.88
vardas658      pavarde658      2.88
vardas661      pavarde661      1.92
vardas663      pavarde663      3.32
vardas664      pavarde664      0.88
vardas667      pavarde667      3.36
vardas669      pavarde669      4.76
vardas672      pavarde672      3.76
vardas673      pavarde673      3.64
vardas674      pavarde674      2.84
vardas677      pavarde677      4.48
vardas681      pavarde681      3.68
vardas683      pavarde683      1.96
vardas684      pavarde684      1.56
vardas685      pavarde685      3.88
vardas687      pavarde687      1.68
vardas688      pavarde688      2.96
vardas689      pavarde689      3.40
vardas697      pavarde697      1.52
vardas698      pavarde698      3.76
vardas701      pavarde701      1.64
vardas703      pavarde703      4.80
vardas704      pavarde704      4.24
vardas706      pavarde706      2.72
vardas707      pavarde707      3.76
vardas708      pavarde708      4.08
vardas710      pavarde710      1.12
vardas713      pavarde713      2.24
vardas714      pavarde714      2.80
vardas715      pavarde715      2.60
vardas716      pavarde716      1.92
vardas718      pavarde718      4.72
vardas720      pavarde720      4.12
vardas721      pavarde721      4.04
vardas723      pavarde723      2.44
vardas728      pavarde728      2.80
vardas730      pavarde730      4.76
vardas732      pavarde732      4.08
vardas734      pavarde734      4.88
vardas737      pavarde737      2.12
vardas744      pavarde744      3.96
vardas747      pavarde747      2.40
vardas748      pavarde748      2.68
vardas749      pavarde749      2.16
vardas750      pavarde750      2.48
vardas751      pavarde751      2.72
vardas752      pavarde752      4.32
vardas754      pavarde754      4.36
vardas755      pavarde755      3.40
vardas756      pavarde756      4.04
vardas758      pavarde758      4.08
vardas759      pavarde759      1.68
vardas760      pavarde760      4.08
vardas762      pavarde762      3.24
vardas764      pavarde764      2.00
vardas765      pavarde765      3.40
vardas769      pavarde769      3.12
vardas772      pavarde772      4.64
vardas774      pavarde774      3.76
vardas779      pavarde779      4.24
vardas781      pavarde781      2.12
vardas784      pavarde784      4.24
vardas785      pavarde785      1.44
vardas789      pavarde789      4.36
vardas790      pavarde790      2.32
vardas791      pavarde791      2.12
vardas792      pavarde792      1.44
vardas794      pavarde794      1.64
vardas797      pavarde797      3.12
vardas800      pavarde800      3.92
vardas802      pavarde802      2.92
vardas806      pavarde806      2.76
vardas807      pavarde807      2.96
vardas808      pavarde808      3.32
vardas810      pavarde810      3.36
vardas812      pavarde812      3.20
vardas813      pavarde813      4.16
vardas815      pavarde815      4.84
vardas817      pavarde817      2.00
vardas820      pavarde820      4.12
vardas821      pavarde821      4.24
vardas822      pavarde822      3.24
vardas823      pavarde823      4.20
vardas831      pavarde831      4.16
vardas832      pavarde832      2.80
vardas833      pavarde833      3.84
vardas834      pavarde834      2.48
vardas836      pavarde836      4.16
vardas838      pavarde838      3.56
vardas845      pavarde845      2.04
vardas848      pavarde848      4.56
vardas849      pavarde849      2.24
vardas852      pavarde852      3.76
vardas855      pavarde855      3.00
vardas857      pavarde857      4.24
vardas858      pavarde858      4.48
vardas863      pavarde863      4.24
vardas864      pavarde864      2.68
vardas865      pavarde865      3.56
vardas866      pavarde866      2.48
vardas867      pavarde867      2.72
vardas870      pavarde870      1.52
vardas873      pavarde873      4.16
vardas875      pavarde875      3.80
vardas878      pavarde878      2.52
vardas879      pavarde879      1.88
vardas880      pavarde880      2.96
vardas881      pavarde881      2.80
vardas883      pavarde883      4.32
vardas885      pavarde885      4.96
vardas886      pavarde886      2.08
vardas891      pavarde891      2.96
vardas893      pavarde893      2.72
vardas895      pavarde895      4.00
vardas896      pavarde896      4.16
vardas897      pavarde897      2.56
vardas898      pavarde898      4.52
vardas900      pavarde900      3.60
vardas903      pavarde903      2.36
vardas904      pavarde904      3.56
vardas909      pavarde909      2.96
vardas910      pavarde910      1.44
vardas912      pavarde912      2.52
vardas913      pavarde913      2.84
vardas915      pavarde915      1.44
vardas918      pavarde918      2.92
vardas919      pavarde919      3.96
vardas922      pavarde922      2.44
vardas923      pavarde923      2.28
vardas924      pavarde924      1.04
vardas925      pavarde925      3.64
vardas926      pavarde926      3.64
vardas928      pavarde928      2.76
vardas932      pavarde932      3.64
vardas936      pavarde936      1.84
vardas940      pavarde940      1.60
vardas945      pavarde945      3.84
vardas948      pavarde948      4.92
vardas952      pavarde952      2.16
vardas953      pavarde953      1.04
vardas955      pavarde955      2.32
vardas958      pavarde958      2.96
vardas960      pavarde960      3.04
vardas961      pavarde961      1.28
vardas962      pavarde962      4.16
vardas964      pavarde964      3.04
vardas965      pavarde965      2.92
vardas967      pavarde967      3.48
vardas969      pavarde969      4.92
vardas975      pavarde975      4.24
vardas977      pavarde977      3.28
vardas979      pavarde979      1.52
vardas981      pavarde981      3.88
vardas982      pavarde982      2.44
vardas983      pavarde983      3.32
vardas984      pavarde984      2.64
vardas985      pavarde985      3.24
vardas987      pavarde987      1.56
vardas988      pavarde988      4.52
vardas989      pavarde989      3.12
vardas990      pavarde990      3.36
vardas991      pavarde991      2.20
vardas992      pavarde992      4.08
vardas993      pavarde993      4.52
vardas995      pavarde995      3.92
vardas997      pavarde997      3.44
vardas998      pavarde998      4.36
