Vardas         Pavardė       Galutinis (Vid.)
vardas445      pavarde445      6.84
vardas446      pavarde446      6.88
vardas449      pavarde449      7.48
vardas452      pavarde452      7.96
vardas455      pavarde455      8.04
vardas459      pavarde459      6.28
vardas461      pavarde461      7.32
vardas463      pavarde463      5.36
vardas466      pavarde466      6.12
vardas473      pavarde473      8.64
vardas477      pavarde477      7.16
vardas478      pavarde478      7.60
vardas479      pavarde479      5.88
vardas484      pavarde484      7.16
vardas485      pavarde485      7.60
vardas488      pavarde488      7.64
vardas495      pavarde495      6.72
vardas497      pavarde497      6.76
vardas502      pavarde502      8.36
vardas503      pavarde503      5.24
vardas504      pavarde504      6.56
vardas505      pavarde505      6.96
vardas507      pavarde507      6.44
vardas508      pavarde508      7.40
vardas509      pavarde509      8.04
vardas511      pavarde511      7.20
vardas515      pavarde515      6.20
vardas517      pavarde517      7.92
vardas518      pavarde518      5.92
vardas519      pavarde519      6.60
vardas521      pavarde521      5.68
vardas522      pavarde522      7.40
vardas524      pavarde524      6.12
vardas527      pavarde527      6.80
vardas528      pavarde528      6.28
vardas531      pavarde531      5.96
vardas533      pavarde533      7.68
vardas534      pavarde534      7.56
vardas536      pavarde536      7.00
vardas537      pavarde537      7.40
vardas539      pavarde539      6.40
vardas541      pavarde541      6.80
vardas542      pavarde542      6.72
vardas543      pavarde543      5.60
vardas544      pavarde544      6.40
vardas548      pavarde548      7.16
vardas550      pavarde550      8.28
vardas553      pavarde553      6.44
vardas554      pavarde554      7.60
vardas555      pavarde555      6.16
vardas556      pavarde556      6.32
vardas559      pavarde559      5.20
vardas560      pavarde560      5.56
vardas562      pavarde562      8.80
vardas563      pavarde563      7.88
vardas569      pavarde569      5.92
vardas570      pavarde570      6.28
vardas571      pavarde571      7.40
vardas572      pavarde572      7.92
vardas573      pavarde573      5.92
vardas575      pavarde575      5.52
vardas577      pavarde577      8.88
vardas580      pavarde580      5.08
vardas584      pavarde584      5.16
vardas594      pavarde594      5.48
vardas595      pavarde595      5.92
vardas596      pavarde596      6.08
vardas598      pavarde598      8.08
vardas599      pavarde599      8.56
vardas600      pavarde600      7.16
vardas601      pavarde601      6.28
vardas602      pavarde602      8.64
vardas605      pavarde605      5.16
vardas607      pavarde607      6.84
vardas611      pavarde611      7.20
vardas616      pavarde616      6.64
vardas618      pavarde618      8.24
vardas620      pavarde620      7.52
vardas622      pavarde622      5.32
vardas626      pavarde626      5.68
vardas628      pavarde628      8.16
vardas632      pavarde632      7.76
vardas634      pavarde634      7.64
vardas637      pavarde637      7.72
vardas638      pavarde638      6.32
vardas639      pavarde639      6.48
vardas640      pavarde640      8.16
vardas641      pavarde641      9.04
vardas646      pavarde646      5.44
vardas647      pavarde647      7.88
vardas648      pavarde648      6.88
vardas649      pavarde649      7.60
vardas652      pavarde652      6.60
vardas653      pavarde653      5.88
vardas655      pavarde655      7.36
vardas657      pavarde657      6.20
vardas659      pavarde659      8.28
vardas660      pavarde660      5.68
vardas662      pavarde662      6.68
vardas665      pavarde665      5.96
vardas666      pavarde666      8.08
vardas668      pavarde668      7.92
vardas670      pavarde670      8.36
vardas671      pavarde671      7.16
vardas675      pavarde675      5.48
vardas676      pavarde676      6.72
vardas678      pavarde678      5.36
vardas679      pavarde679      7.92
vardas680      pavarde680      5.40
vardas682      pavarde682      7.92
vardas686      pavarde686      5.84
vardas690      pavarde690      7.76
vardas691      pavarde691      5.64
vardas692      pavarde692      6.20
vardas693      pavarde693      7.12
vardas694      pavarde694      5.12
vardas695      pavarde695      5.60
vardas696      pavarde696      6.44
vardas699      pavarde699      8.28
vardas700      pavarde700      8.48
vardas702      pavarde702      5.64
vardas705      pavarde705      7.48
vardas709      pavarde709      6.32
vardas711      pavarde711      8.12
vardas712      pavarde712      6.36
vardas717      pavarde717      6.20
vardas719      pavarde719      5.68
vardas722      pavarde722      8.40
vardas724      pavarde724      8.48
vardas725      pavarde725      6.88
vardas726      pavarde726      7.76
vardas727      pavarde727      8.40
vardas729      pavarde729      6.24
vardas731      pavarde731      5.24
vardas733      pavarde733      5.36
vardas735      pavarde735      5.52
vardas736      pavarde736      8.28
vardas738      pavarde738      7.84
vardas739      pavarde739      8.16
vardas740      pavarde740      8.08
vardas741      pavarde741      8.32
vardas742      pavarde742      7.12
vardas743      pavarde743      6.72
vardas745      pavarde745      7.52
vardas746      pavarde746      8.96
vardas753      pavarde753      7.44
vardas757      pavarde757      7.04
vardas761      pavarde761      7.84
vardas763      pavarde763      6.08
vardas766      pavarde766      6.72
vardas767      pavarde767      5.56
vardas768      pavarde768      8.08
vardas770      pavarde770      6.12
vardas771      pavarde771      7.08
vardas773      pavarde773      6.44
vardas775      pavarde775      8.40
vardas776      pavarde776      5.16
vardas777      pavarde777      8.64
vardas778      pavarde778      5.40
vardas780      pavarde780      6.64
vardas782      pavarde782      7.28
vardas783      pavarde783      7.36
vardas786      pavarde786      5.40
vardas787      pavarde787      8.32
vardas788      pavarde788      6.96
vardas793      pavarde793      5.44
vardas795      pavarde795      7.04
vardas796      pavarde796      5.80
vardas798      pavarde798      7.48
vardas799      pavarde799      7.08
vardas801      pavarde801      6.56
vardas803      pavarde803      5.20
vardas804      pavarde804      8.48
vardas805      pavarde805      5.20
vardas809      pavarde809      6.96
vardas811      pavarde811      6.48
vardas814      pavarde814      7.72
vardas816      pavarde816      7.28
vardas818      pavarde818      7.52
vardas819      pavarde819      7.44
vardas824      pavarde824      5.40
vardas825      pavarde825      7.00
vardas826      pavarde826      8.72
vardas827      pavarde827      8.48
vardas828      pavarde828      7.84
vardas829      pavarde829      6.32
vardas830      pavarde830      5.40
vardas835      pavarde835      6.92
vardas837      pavarde837      7.92
vardas839      pavarde839      8.00
vardas840      pavarde840      7.16
vardas841      pavarde841      5.92
vardas842      pavarde842      5.84
vardas843      pavarde843      7.84
vardas844      pavarde844      7.16
vardas846      pavarde846      6.36
vardas847      pavarde847      5.04
vardas850      pavarde850      6.44
vardas851      pavarde851      6.04
vardas853      pavarde853      8.20
vardas854      pavarde854      6.76
vardas856      pavarde856      5.28
vardas859      pavarde859      7.52
vardas860      pavarde860      7.96
vardas861      pavarde861      6.76
vardas862      pavarde862      5.20
vardas868      pavarde868      6.68
vardas869      pavarde869      6.36
vardas871      pavarde871      5.36
vardas872      pavarde872      7.24
vardas874      pavarde874      5.52
vardas876      pavarde876      5.28
vardas877      pavarde877      5.08
vardas882      pavarde882      5.68
vardas884      pavarde884      7.08
vardas887      pavarde887      6.64
vardas888      pavarde888      6.52
vardas889      pavarde889      7.76
vardas890      pavarde890      7.04
vardas892      pavarde892      7.88
vardas894      pavarde894      8.64
vardas899      pavarde899      7.84
vardas901      pavarde901      5.92
vardas902      pavarde902      8.56
vardas905      pavarde905      7.68
vardas906      pavarde906      9.52
vardas907      pavarde907      6.08
vardas908      pavarde908      5.52
vardas911      pavarde911      5.84
vardas914      pavarde914      7.88
vardas916      pavarde916      6.56
vardas917      pavarde917      8.88
vardas920      pavarde920      6.00
vardas921      pavarde921      5.44
vardas927      pavarde927      7.12
vardas929      pavarde929      5.44
vardas930      pavarde930      6.84
vardas931      pavarde931      6.52
vardas933      pavarde933      5.56
vardas934      pavarde934      6.28
vardas935      pavarde935      6.40
vardas937      pavarde937      7.52
vardas938      pavarde938      6.40
vardas939      pavarde939      7.68
vardas941      pavarde941      8.64
vardas942      pavarde942      5.36
vardas943      pavarde943      5.12
vardas944      pavarde944      5.92
vardas946      pavarde946      5.72
vardas947      pavarde947      5.20
vardas949      pavarde949      7.12
vardas950      pavarde950      8.00
vardas951      pavarde951      6.08
vardas954      pavarde954      8.88
vardas956      pavarde956      7.64
vardas957      pavarde957      7.56
vardas959      pavarde959      5.28
vardas963      pavarde963      8.48
vardas966      pavarde966      7.12
vardas968      pavarde968      5.08
vardas970      pavarde970      7.40
vardas971      pavarde971      8.04
vardas972      pavarde972      7.00
vardas973      pavarde973      7.12
vardas974      pavarde974      7.04
vardas976      pavarde976      5.92
vardas978      pavarde978      5.32
vardas980      pavarde980      6.96
vardas986      pavarde986      5.40
vardas994      pavarde994      6.32
vardas996      pavarde996      5.92
vardas999      pavarde999      7.24
vardas1000     pavarde1000     8.32
